Station ID,Station Name,Longitude,Latitude,Elevation,Link
SBR,SANTA BARBARA SANITATION,-119.75,34.417,5,/dynamicapp/staMeta?station_id=SBR
SCA,SCOTIA,-124.1,40.483,139,/dynamicapp/staMeta?station_id=SCA
SCC,SUCCESS DAM,-118.922,36.061,692,/dynamicapp/staMeta?station_id=SCC
SCR,SACRAMENTO WB CITY,-121.5,38.583,25,/dynamicapp/staMeta?station_id=SCR
SDG,SAN DIEGO NWS-LINDBERGH FIELD,-117.167,32.733,13,/dynamicapp/staMeta?station_id=SDG
SEY,SOUTH ENTRANCE YOSEMITE,-119.633,37.5,5120,/dynamicapp/staMeta?station_id=SEY
SFF,SAN FRANCISCO WB AP,-122.383,37.617,8,/dynamicapp/staMeta?station_id=SFF
SGH,SAGEHEN CREEK,-120.233,39.433,6337,/dynamicapp/staMeta?station_id=SGH
SGV,SPRINGVILLE TULE POWERPLANT,-118.7072,36.1631,4070,/dynamicapp/staMeta?station_id=SGV
SKR,SOUTH LAKE RESERVOIR,-118.56954,37.16602,837,/dynamicapp/staMeta?station_id=SKR
SLK,SOUTH LAKE,-118.56266,37.175903,9600,/dynamicapp/staMeta?station_id=SLK
SLO,SAN LUIS OBISPO POLY,-120.667,35.3,315,/dynamicapp/staMeta?station_id=SLO
SLP,SLY PARK,-120.563057,38.717312,3530,/dynamicapp/staMeta?station_id=SLP
SNH,STANDISH HICKEY PARK,-123.733,39.883,850,/dynamicapp/staMeta?station_id=SNH
SOR,SONORA RS,-120.383,37.983,1749,/dynamicapp/staMeta?station_id=SOR
SRO,SANTA ROSA,-122.753,38.445,109,/dynamicapp/staMeta?station_id=SRO
SRR,SIERRAVILLE RS (USFS),-120.367,39.583,4975,/dynamicapp/staMeta?station_id=SRR
SSG,SODA SPRINGS 1 E,-120.367,39.317,6885,/dynamicapp/staMeta?station_id=SSG
SSN,SUSANVILLE,-120.567,40.367,4148,/dynamicapp/staMeta?station_id=SSN
STG,STONY GORGE RESERVOIR,-122.533,39.583,800,/dynamicapp/staMeta?station_id=STG
STK,STOCKTON FIRE STATION 4,-121.317,38.001,12,/dynamicapp/staMeta?station_id=STK
STV,STRAWBERRY VALLEY,-121.1,39.567,3808,/dynamicapp/staMeta?station_id=STV
TAC,TAHOE CITY (NWS),-120.133,39.167,6230,/dynamicapp/staMeta?station_id=TAC
TCR,TRACY CARBONA,-121.433,37.7,140,/dynamicapp/staMeta?station_id=TCR
TKE,TRUCKEE RS (OBS),-120.183,39.333,6020,/dynamicapp/staMeta?station_id=TKE
TRM,TERMINUS DAM,-119.002,36.415,752,/dynamicapp/staMeta?station_id=TRM
UKH,UKIAH,-123.2,39.15,633,/dynamicapp/staMeta?station_id=UKH
VNT,VINTON,-120.183,39.8,4944,/dynamicapp/staMeta?station_id=VNT
VSL,VISALIA,-119.3,36.333,325,/dynamicapp/staMeta?station_id=VSL
WDL,WOODLAND 1 WNW,-121.8,38.683,69,/dynamicapp/staMeta?station_id=WDL
WLS,MOUNT WILSON NO 2,-118.067,34.233,5709,/dynamicapp/staMeta?station_id=WLS
WPT,WEST POINT,-120.545,38.377,2775,/dynamicapp/staMeta?station_id=WPT
WSC,WASCO,-119.333,35.6,345,/dynamicapp/staMeta?station_id=WSC
WTW,WATSONVILLE WATER,-121.767,36.933,95,/dynamicapp/staMeta?station_id=WTW
WVR,WEAVERVILLE RS,-122.95,40.733,2050,/dynamicapp/staMeta?station_id=WVR
YRK,YREKA,-122.633,41.7,2625,/dynamicapp/staMeta?station_id=YRK
YSV,YOSEMITE HEADQUARTERS,-119.58972,37.75027,4018,/dynamicapp/staMeta?station_id=YSV
