Acres_Burned,Cal_Fire_Incident,Latitude,Longitude,Unique_ID,Month,Year
100.0,False,0.0,0.0,c6044e8d-c054-44f2-bc92-24510df4deef,8,2013
100.0,True,37.91529,-120.33313,98bfbb7c-8446-4e2e-a268-7e961353723c,6,2013
100.0,True,32.564465,-116.900368,e077e091-f890-477c-b948-eb23774b432e,5,2013
98.0,True,38.9252,-122.966,b20a2031-12c9-4e9c-9f44-ac82c26e6c66,9,2013
97.0,False,41.73325,-120.375,308ce8d5-67c8-4edb-9e2f-bf6295f98d7e,9,2013
97.0,False,33.642,-116.706,b5109726-5e91-4c10-96f8-2a5bb72e5a59,8,2013
97.0,True,40.88886,-120.958126,2b84c8a2-e2e8-45a2-9221-e8075608c218,8,2013
96.0,True,38.27783,-120.966016,bf59bc5b-1398-4ae5-adef-6f61b9ee1b90,6,2013
94.0,True,35.4393,-120.8358,ac469123-da14-4821-b824-c6cf66138514,9,2013
92.0,True,39.6612,-121.50354,0b51d3d5-bb3a-426d-9c12-c1878a01d7cf,8,2013
91.0,True,37.1927,-119.7917,2b765a08-c770-4b19-baa8-00dffe3fa838,5,2013
90.0,True,33.9582,-116.6534,13850faa-5bab-4fd7-bac3-433ce9250c4d,5,2013
85.0,True,35.62743,-120.83417,a97d2b3a-3a53-424f-852c-5f1b8d199cc3,7,2013
82.0,True,39.0442,-123.1478,e9e43213-b2fc-47bc-92cd-117ccd6e4780,11,2013
80.0,True,39.731878,-121.713938,dd374f36-e7cb-4a48-91ee-e8be101e0f88,8,2013
80.0,True,0.0,0.0,3513f584-632d-4fd0-a98a-646eb0753248,4,2013
75.0,True,0.0,0.0,ff13baa0-35e0-44dd-b994-38ada16baf7b,9,2013
75.0,True,34.316,-117.352,ed51bbd2-6f8e-4f46-9073-3673a583fada,7,2013
75.0,True,37.169379,-119.75636,7055a440-5d4c-4f58-bac9-2954ff6698a5,6,2013
75.0,True,34.1834,-117.4408,e2c4b308-9a2d-483b-8434-999bef9adc7c,5,2013
75.0,True,38.441792,-122.350844,d8d1c943-7b5d-4885-9043-f41075d6eded,4,2013
